id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
283,viluppuram,https://www.swiggy.com/restaurants/fruitify-elzchatram-road-viluppuram-town-viluppuram-680071,Fruitify	,"Beverages, Juices",Viluppuram Town,3.1,₹300 for two,5 ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
284,viluppuram,https://www.swiggy.com/restaurants/mr-shawarma-k-k-road-viluppuram-town-viluppuram-412673,Mr. Shawarma,Continental,Viluppuram Town,3.2,₹200 for two,100+ ratings,30% OFF UPTO ₹75; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
285,viluppuram,https://www.swiggy.com/restaurants/the-juice-shop-kk-road-viluppuram-town-viluppuram-412669,The Juice Shop,Indian,Viluppuram Town,2.8,₹200 for two,20+ ratings,40% OFF UPTO ₹80; Free Frenchfries; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
286,washim,https://www.swiggy.com/restaurants/mr-momo-and-more-marg-r-a-college-road-washim-443616,Mr Momo And More,Chinese,R A College Road,3.7,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
287,washim,https://www.swiggy.com/restaurants/beyond-temptation-cafe-patni-chowk-washim-443366,Beyond Temptation Cafe,"Desserts, Burgers, Ice Cream, Pizzas",Patni Chowk,3.9,₹300 for two,100+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
288,viluppuram,https://www.swiggy.com/restaurants/hotel-sri-ganapathy-a-c-trichy-main-road-viluppuram-town-viluppuram-491772,Hotel Sri Ganapathy A/C,"South Indian, North Indian, Chinese",Viluppuram Town,4,₹200 for two,500+ ratings,40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹50; 20% OFF UPTO ₹120
289,washim,https://www.swiggy.com/restaurants/mewalal-chaat-and-snacks-mahalaxmi-petrol-pump-road-washim-locality-washim-662193,Mewalal Chaat & Snacks,"Chaat, Pizzas, Fast Food",Washim Locality,2.8,₹200 for two,50+ ratings,30% OFF UPTO ₹75; FLAT 10% OFF; FLAT ₹125 OFF; 30% OFF UPTO ₹150; 40% OFF UPTO ₹120
290,washim,https://www.swiggy.com/restaurants/haldirams-sweets-and-namkeen-vijaya-comercial-complex-washim-locality-washim-606670,Haldiram's Sweets and Namkeen,"Indian, North Indian, Chinese, Fast Food, Beverages, Sweets, Desserts",Washim Locality,4.4,₹300 for two,20+ ratings,
291,washim,https://www.swiggy.com/restaurants/mr-idli-risod-road-patni-chowk-washim-497375,Mr. Idli,"Chinese, North Indian, South Indian, Ice Cream, Biryani",Patni Chowk,3.8,₹250 for two,50+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
292,washim,https://www.swiggy.com/restaurants/shri-balaji-pav-bhaji-and-fast-food-r-ncenter-balu-chowk-washim-washim-749154,SHRI BALAJI PAV BHAJI AND FAST FOOD \r\nCENTER,"Indian, Chinese, Snacks",Washim,,₹200 for two,,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
